year,name,category,ratio_f,number_f,ratio_m,number_m
1973,Shawn,4: mostly gendered,0.101,1285,0.899,11453
1973,Shannon,3: somewhat neutral,0.788,9805,0.212,2636
1973,Kelly,4: mostly gendered,0.861,10517,0.139,1703
1973,Tracy,4: mostly gendered,0.829,9913,0.171,2043
1973,Stacy,4: mostly gendered,0.889,7339,0.111,915
1973,Jamie,1: most neutral,0.43,2953,0.57,3914
1973,Dana,4: mostly gendered,0.83,4933,0.17,1012
1973,Terry,4: mostly gendered,0.127,638,0.873,4378
1973,Leslie,4: mostly gendered,0.833,3953,0.167,791
1973,Tracey,4: mostly gendered,0.876,2978,0.124,421
1973,Jody,1: most neutral,0.576,1687,0.424,1244
1973,Angel,2: very neutral,0.634,1815,0.366,1049
1973,Lee,3: somewhat neutral,0.238,658,0.762,2111
1973,Kerry,3: somewhat neutral,0.733,1874,0.267,681
1973,Lynn,4: mostly gendered,0.879,1933,0.121,267
1973,Casey,2: very neutral,0.326,620,0.674,1279
1973,Adrian,4: mostly gendered,0.11,199,0.89,1613
1973,Ashley,3: somewhat neutral,0.746,1253,0.254,426
1973,Jackie,1: most neutral,0.594,932,0.406,638
1973,Jean,4: mostly gendered,0.831,1110,0.169,225
1973,Jaime,4: mostly gendered,0.149,187,0.851,1064
1973,Billie,4: mostly gendered,0.883,1092,0.117,144
1973,Jessie,2: very neutral,0.319,352,0.681,753
1973,Francis,4: mostly gendered,0.105,115,0.895,980
1973,Rene,2: very neutral,0.372,406,0.628,686
1973,Joey,4: mostly gendered,0.192,208,0.808,873
1973,Kenya,4: mostly gendered,0.86,894,0.14,145
1973,Courtney,3: somewhat neutral,0.787,813,0.213,220
1973,Shelby,3: somewhat neutral,0.798,677,0.202,171
1973,Carey,2: very neutral,0.667,560,0.333,279
1973,Guadalupe,2: very neutral,0.677,513,0.323,245
1973,Johnnie,4: mostly gendered,0.155,115,0.845,629
1973,Lesley,4: mostly gendered,0.891,611,0.109,75
1973,Marty,4: mostly gendered,0.124,84,0.876,591
1973,Noel,3: somewhat neutral,0.266,175,0.734,484
1973,Alexis,3: somewhat neutral,0.764,491,0.236,152
1973,Robbie,3: somewhat neutral,0.235,151,0.765,491
1973,Cameron,4: mostly gendered,0.138,82,0.862,514
1973,Frankie,3: somewhat neutral,0.207,123,0.793,472
1973,Kris,2: very neutral,0.377,215,0.623,356
1973,Marion,1: most neutral,0.473,268,0.527,298
1973,Cary,3: somewhat neutral,0.286,154,0.714,385
1973,Lashawn,4: mostly gendered,0.842,420,0.158,79
1973,Loren,4: mostly gendered,0.153,71,0.847,393
1973,Kendall,3: somewhat neutral,0.241,111,0.759,350
1973,Jamey,4: mostly gendered,0.132,59,0.868,388
1973,Jan,3: somewhat neutral,0.703,296,0.297,125
1973,Dorian,3: somewhat neutral,0.253,99,0.747,293
1973,Antonia,3: somewhat neutral,0.777,292,0.223,84
1973,Whitney,4: mostly gendered,0.821,294,0.179,64
1973,Mickey,4: mostly gendered,0.106,38,0.894,319
1973,Devon,3: somewhat neutral,0.231,81,0.769,270
1973,Morgan,3: somewhat neutral,0.263,91,0.737,255
1973,Marlo,3: somewhat neutral,0.763,251,0.237,78
1973,Kasey,3: somewhat neutral,0.742,241,0.258,84
1973,Dallas,4: mostly gendered,0.136,44,0.864,279
1973,Aubrey,1: most neutral,0.457,142,0.543,169
1973,Shayne,3: somewhat neutral,0.234,72,0.766,236
1973,Kristian,4: mostly gendered,0.192,55,0.808,232
1973,Tommie,3: somewhat neutral,0.289,83,0.711,204
1973,Donnell,4: mostly gendered,0.108,31,0.892,256
1973,Dusty,1: most neutral,0.523,148,0.477,135
1973,Dominique,3: somewhat neutral,0.738,206,0.262,73
1973,Deon,4: mostly gendered,0.158,43,0.842,229
1973,Kenyatta,1: most neutral,0.462,123,0.538,143
1973,Britt,2: very neutral,0.602,142,0.398,94
1973,Shanon,2: very neutral,0.699,165,0.301,71
1973,Avery,4: mostly gendered,0.11,25,0.89,203
1973,Kory,4: mostly gendered,0.11,25,0.89,203
1973,Shea,1: most neutral,0.58,127,0.42,92
1973,Ali,1: most neutral,0.472,101,0.528,113
1973,Deshawn,2: very neutral,0.37,78,0.63,133
1973,Germaine,2: very neutral,0.305,64,0.695,146
1973,Jammie,2: very neutral,0.39,82,0.61,128
1973,Brook,2: very neutral,0.65,134,0.35,72
1973,Dee,4: mostly gendered,0.805,165,0.195,40
1973,Jayme,1: most neutral,0.593,121,0.407,83
1973,Nicky,3: somewhat neutral,0.261,53,0.739,150
1973,Michel,2: very neutral,0.307,61,0.693,138
1973,Elisha,4: mostly gendered,0.81,158,0.19,37
1973,Shay,1: most neutral,0.593,115,0.407,79
1973,Tori,4: mostly gendered,0.865,166,0.135,26
1973,Corrie,4: mostly gendered,0.844,151,0.156,28
1973,Tory,4: mostly gendered,0.178,31,0.822,143
1973,Nicola,3: somewhat neutral,0.733,126,0.267,46
1973,Lindsey,1: most neutral,0.591,101,0.409,70
1973,Rosario,3: somewhat neutral,0.776,132,0.224,38
1973,Taylor,4: mostly gendered,0.165,27,0.835,137
1973,Christen,4: mostly gendered,0.817,134,0.183,30
1973,Jade,1: most neutral,0.445,73,0.555,91
1973,Rory,4: mostly gendered,0.155,24,0.845,131
1973,Gerry,4: mostly gendered,0.194,30,0.806,125
1973,Trinity,2: very neutral,0.636,98,0.364,56
1973,Lupe,3: somewhat neutral,0.706,108,0.294,45
1973,Regan,3: somewhat neutral,0.717,109,0.283,43
1973,Carroll,3: somewhat neutral,0.224,34,0.776,118
1973,Blair,4: mostly gendered,0.192,29,0.808,122
1973,Kelsey,1: most neutral,0.513,77,0.487,73
1973,Ariel,3: somewhat neutral,0.289,43,0.711,106
1973,Robbin,4: mostly gendered,0.846,126,0.154,23
1973,Sammie,3: somewhat neutral,0.201,30,0.799,119
1973,Andra,1: most neutral,0.514,72,0.486,68
1973,Deandre,4: mostly gendered,0.101,14,0.899,124
1973,Lindsay,4: mostly gendered,0.839,115,0.161,22
1973,Nickie,3: somewhat neutral,0.752,103,0.248,34
1973,Danyell,4: mostly gendered,0.876,120,0.124,17
