year,name,category,ratio_f,number_f,ratio_m,number_m
1968,Jamie,2: very neutral,0.687,2688,0.313,1224
1968,Jody,1: most neutral,0.596,1912,0.404,1298
1968,Kerry,2: very neutral,0.615,1735,0.385,1085
1968,Jackie,2: very neutral,0.687,1584,0.313,721
1968,Rene,1: most neutral,0.486,671,0.514,710
1968,Angel,2: very neutral,0.377,504,0.623,833
1968,Jessie,2: very neutral,0.309,320,0.691,716
1968,Kris,2: very neutral,0.68,598,0.32,282
1968,Marion,1: most neutral,0.542,435,0.458,367
1968,Carey,1: most neutral,0.489,323,0.511,338
1968,Guadalupe,2: very neutral,0.618,391,0.382,242
1968,Shelby,2: very neutral,0.691,320,0.309,143
1968,Alexis,2: very neutral,0.613,174,0.387,110
1968,Michel,2: very neutral,0.321,80,0.679,169
1968,Devon,2: very neutral,0.346,85,0.654,161
1968,Andra,2: very neutral,0.61,136,0.39,87
1968,Britt,2: very neutral,0.333,56,0.667,112
1968,Sydney,2: very neutral,0.692,101,0.308,45
1968,Kasey,2: very neutral,0.677,90,0.323,43
1968,Lindsey,1: most neutral,0.431,56,0.569,74
1968,Brook,1: most neutral,0.445,53,0.555,66
1968,Lindsay,1: most neutral,0.598,70,0.402,47
1968,Ollie,2: very neutral,0.368,43,0.632,74
1968,Jade,1: most neutral,0.474,54,0.526,60
1968,Lacy,2: very neutral,0.393,44,0.607,68
1968,Kristian,2: very neutral,0.315,35,0.685,76
1968,Darby,1: most neutral,0.445,49,0.555,61
1968,Dusty,2: very neutral,0.349,38,0.651,71
1968,Paris,1: most neutral,0.415,44,0.585,62
1968,Lavern,1: most neutral,0.543,57,0.457,48
1968,Jacque,2: very neutral,0.667,70,0.333,35
1968,Merrill,2: very neutral,0.333,32,0.667,64
1968,Vernell,1: most neutral,0.457,42,0.543,50
1968,Jammie,1: most neutral,0.589,53,0.411,37
1968,Shan,2: very neutral,0.337,30,0.663,59
1968,Kary,1: most neutral,0.539,48,0.461,41
1968,Shea,1: most neutral,0.488,42,0.512,44
1968,Alva,1: most neutral,0.583,49,0.417,35
1968,Lavon,1: most neutral,0.59,46,0.41,32
1968,Nickie,2: very neutral,0.692,54,0.308,24
1968,Ricki,1: most neutral,0.597,46,0.403,31
1968,Michal,2: very neutral,0.311,23,0.689,51
1968,Karry,2: very neutral,0.694,50,0.306,22
1968,Lorenza,2: very neutral,0.38,27,0.62,44
1968,Jonnie,1: most neutral,0.557,39,0.443,31
1968,Adrain,2: very neutral,0.371,26,0.629,44
1968,Deshawn,1: most neutral,0.574,39,0.426,29
1968,Cleo,1: most neutral,0.544,37,0.456,31
1968,Trinidad,2: very neutral,0.343,23,0.657,44
1968,Shay,1: most neutral,0.515,34,0.485,32
